Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Marker_loc_x,Marker_loc_y,Marker_loc_z,Tip_loc_x,Tip_loc_y,Tip_loc_z,
04:13:45.303,85261,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.317,85275,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.331,85289,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.345,85303,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.359,85317,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.373,85331,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.387,85345,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.400,85358,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.414,85372,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.431,85388,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.442,85400,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.457,85415,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.469,85427,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.483,85442,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.498,85456,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.511,85469,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.526,85484,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.540,85497,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.553,85511,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.568,85525,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.581,85539,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.595,85553,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.608,85566,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.623,85581,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.638,85596,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.651,85608,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.665,85622,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.679,85637,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.692,85649,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.707,85665,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.720,85678,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.734,85692,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.747,85705,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.761,85719,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.775,85734,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.789,85747,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.803,85761,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.818,85776,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.831,85789,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.844,85802,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.860,85817,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.872,85830,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
04:13:45.888,85845,0,0,0,0,0,0,0.02945042,1.345149,0.08599997,0.001310438,1.345149,0.08599997,0
